,low,high,open,close,volume,time
0,379.02,379.69,379.28,379.02,9.5771,2020-11-02 11:26:00
1,379.24,381.24,379.24,381.24,1.7583,2020-11-02 11:27:00
2,381.37,381.85,381.37,381.85,0.732,2020-11-02 11:31:00
3,380.4,380.78,380.78,380.41,1.7131,2020-11-02 11:44:00
4,380.62,381.79,380.62,381.79,1.2556,2020-11-02 11:45:00
5,381.25,381.84,381.25,381.84,2.0901,2020-11-02 11:49:00
6,379.92,381.12,381.12,379.92,38.7624,2020-11-02 11:57:00
7,380.63,380.64,380.63,380.63,2.28,2020-11-02 11:59:00
8,379.55,380.97,380.97,379.55,0.3789,2020-11-02 12:00:00
9,379.57,380.41,380.41,379.87,5.0758,2020-11-02 12:04:00
10,379.11,381.29,379.11,381.29,1.1936,2020-11-02 12:13:00
11,378.0,380.81,380.81,378.0,0.1505,2020-11-02 12:32:00
12,378.12,378.59,378.12,378.59,4.01635171,2020-11-02 12:43:00
13,375.91,377.32,375.91,377.32,0.69240635,2020-11-02 12:46:00
14,377.9,377.9,377.9,377.9,0.0367,2020-11-02 12:52:00
15,377.79,378.77,378.77,377.8,0.4484,2020-11-02 12:57:00
16,377.72,378.78,377.72,378.78,0.0753,2020-11-02 13:03:00
17,378.61,378.94,378.61,378.93,2.0458,2020-11-02 13:08:00
18,379.37,380.6,379.37,380.6,97.14092753,2020-11-02 13:13:00
19,378.87,379.22,378.89,379.22,1.9826,2020-11-02 13:17:00
20,379.2,379.52,379.2,379.52,0.5436,2020-11-02 13:27:00
21,380.15,380.19,380.15,380.19,7.5919,2020-11-02 13:34:00
22,380.63,381.1,380.63,381.03,0.7912,2020-11-02 13:35:00
23,380.48,380.8,380.48,380.8,0.2758,2020-11-02 13:37:00
24,380.5,380.6,380.6,380.5,0.0275,2020-11-02 13:47:00
25,378.77,380.71,380.71,379.02,1.05,2020-11-02 13:53:00
26,378.84,379.04,378.84,379.04,4.0674,2020-11-02 14:16:00
27,378.66,378.82,378.66,378.82,2.0517,2020-11-02 14:18:00
28,379.62,380.17,379.62,380.05,28.9607,2020-11-02 14:25:00
29,379.69,381.31,379.69,381.31,14.5814,2020-11-02 14:33:00
30,381.03,381.79,381.03,381.79,5.4225,2020-11-02 14:36:00
31,381.0,381.95,381.95,381.0,38.61,2020-11-02 14:50:00
32,381.89,382.11,381.9,382.11,4.7078,2020-11-02 14:52:00
33,381.06,381.88,381.88,381.06,16.19228471,2020-11-02 14:59:00
34,381.36,381.41,381.41,381.36,0.5463,2020-11-02 15:02:00
35,380.82,381.4,380.89,381.4,4.1305,2020-11-02 15:07:00
36,381.23,381.23,381.23,381.23,0.0178,2020-11-02 15:15:00
37,381.7,381.96,381.7,381.81,6.946,2020-11-02 15:16:00
38,381.97,382.04,381.97,382.04,2.942279,2020-11-02 15:24:00
39,381.9,382.47,381.9,382.47,0.1762,2020-11-02 15:26:00
40,382.3,382.36,382.3,382.36,2.6452,2020-11-02 15:29:00
41,381.87,382.4,382.4,381.87,7.0,2020-11-02 15:30:00
42,382.13,382.15,382.13,382.15,3.1103,2020-11-02 15:33:00
43,383.62,383.63,383.62,383.63,0.2191,2020-11-02 15:35:00
44,382.59,382.59,382.59,382.59,0.0192,2020-11-02 15:38:00
45,383.2,383.69,383.69,383.2,0.31118381,2020-11-02 15:40:00
46,383.02,383.08,383.02,383.08,0.0517,2020-11-02 15:42:00
47,382.65,382.65,382.65,382.65,2.97,2020-11-02 15:47:00
48,381.89,381.89,381.89,381.89,0.2893,2020-11-02 15:48:00
49,382.25,382.58,382.25,382.58,0.65262679,2020-11-02 15:49:00
50,381.11,382.73,382.48,382.56,6.1396,2020-11-02 15:53:00
51,381.26,382.52,382.52,381.26,0.3918,2020-11-02 15:57:00
52,381.77,381.92,381.92,381.77,4.0431,2020-11-02 16:05:00
53,381.62,381.71,381.62,381.71,0.1933,2020-11-02 16:13:00
54,381.9,381.9,381.9,381.9,0.2312,2020-11-02 16:25:00
55,381.67,381.83,381.83,381.67,0.2158,2020-11-02 16:26:00
56,381.05,381.73,381.73,381.05,0.2519,2020-11-02 16:32:00
57,381.17,381.71,381.17,381.71,1.7971,2020-11-02 16:38:00
58,381.33,381.64,381.64,381.33,0.482,2020-11-02 16:44:00
59,381.48,381.62,381.59,381.48,2.4073,2020-11-02 16:53:00
60,381.38,382.6,382.6,381.38,2.2153,2020-11-02 16:59:00
61,381.43,381.65,381.45,381.65,1.7995,2020-11-02 17:04:00
62,381.69,382.61,381.69,382.61,13.5589165,2020-11-02 17:12:00
63,382.28,382.29,382.29,382.28,0.5934,2020-11-02 17:24:00
64,382.63,382.74,382.63,382.74,0.0518974,2020-11-02 17:28:00
65,381.61,381.94,381.61,381.71,0.1127,2020-11-02 17:36:00
66,381.06,381.67,381.06,381.67,0.3502,2020-11-02 17:45:00
67,381.39,381.52,381.39,381.52,0.7779,2020-11-02 17:55:00
68,381.17,381.83,381.64,381.17,0.9537,2020-11-02 17:59:00
69,381.39,382.32,381.4,382.32,2.3979,2020-11-02 18:04:00
70,382.49,382.49,382.49,382.49,0.0323,2020-11-02 18:10:00
71,382.02,382.51,382.05,382.51,1.9803,2020-11-02 18:12:00
72,381.67,381.67,381.67,381.67,0.013,2020-11-02 18:26:00
73,380.84,381.35,381.35,380.84,0.2087,2020-11-02 18:27:00
74,380.87,380.97,380.97,380.88,2.1655,2020-11-02 18:34:00
75,380.3,380.92,380.48,380.92,15.0409,2020-11-02 18:39:00
76,380.78,381.42,380.78,381.41,1.4678,2020-11-02 18:41:00
77,380.79,380.99,380.99,380.79,1.0152,2020-11-02 18:52:00
78,380.46,380.98,380.63,380.98,1.1609,2020-11-02 18:57:00
79,381.57,381.58,381.57,381.58,3.5533,2020-11-02 19:03:00
80,381.51,381.62,381.62,381.51,4.2488,2020-11-02 19:18:00
81,381.92,382.24,381.93,382.24,0.1521,2020-11-02 19:23:00
82,381.87,382.07,381.87,382.07,6.18,2020-11-02 19:33:00
83,382.33,382.54,382.48,382.33,0.504,2020-11-02 19:48:00
84,381.92,382.31,382.31,381.92,0.5597,2020-11-02 19:51:00
85,382.68,382.73,382.73,382.68,1.9471,2020-11-02 20:00:00
86,382.79,382.96,382.79,382.96,0.0218,2020-11-02 20:05:00
87,382.37,382.97,382.37,382.97,0.699,2020-11-02 20:14:00
88,383.53,384.8,383.54,384.8,0.84054372,2020-11-02 20:20:00
89,383.66,383.79,383.69,383.79,0.4662,2020-11-02 20:37:00
90,383.19,383.41,383.41,383.19,3.8736,2020-11-02 20:47:00
91,382.63,383.24,382.87,383.24,7.2844,2020-11-02 21:03:00
92,382.6,382.91,382.91,382.6,0.1322,2020-11-02 21:06:00
93,381.73,382.56,382.56,382.34,53.658,2020-11-02 21:10:00
94,381.7,381.94,381.7,381.94,0.0414,2020-11-02 21:34:00
95,381.64,381.64,381.64,381.64,0.0251,2020-11-02 21:36:00
96,381.58,382.16,382.16,381.58,1.6271,2020-11-02 21:42:00
97,381.46,382.1,382.09,381.46,6.5675426,2020-11-02 21:46:00
98,382.0,382.03,382.0,382.03,0.0745,2020-11-02 21:54:00
99,381.19,381.61,381.61,381.19,0.5861,2020-11-02 22:03:00
100,381.08,381.26,381.09,381.26,0.89085556,2020-11-02 22:07:00
101,380.72,380.72,380.72,380.72,0.0318,2020-11-02 22:11:00
102,380.9,381.08,381.08,380.9,0.4075,2020-11-02 22:14:00
103,380.04,381.32,380.71,381.32,0.1337,2020-11-02 22:21:00
104,381.14,381.34,381.34,381.14,0.2205,2020-11-02 22:35:00
105,380.08,381.0,381.0,380.08,0.163,2020-11-02 22:46:00
